연번,충전소명,사용시간,이용자제한,충전기상태,충전기타입,소재지도로명주소,소재지지번주소,세부위치,관리업체명,업체전화번호,위도,경도,충전소ID,충전기ID,충전기용량,기관ID,전용주차장,상태갱신일시,데이터기준일자
장안구_8_1,보훈복지타운 아파트,24시간 이용가능,입주자 외 이용제한,9,DC차데모+AC3상+DC콤보,경기도 수원시 장안구 수일로336번길 9,경기도 수원시 장안구 조원동 476-1번지 수원보훈복지타운,지하 1층 주차장,한국전력,1899-2100,37.299431,127.023333,KP000965,KP00096501,DC차데모(50kW)/AC3상(43kW)/DC콤보(50kW),KP,Y,,2021-11-30
장안구_8_2,보훈복지타운 아파트,24시간 이용가능,입주자 외 이용제한,9,AC완속,경기도 수원시 장안구 수일로336번길 9,경기도 수원시 장안구 조원동 476-1번지 수원보훈복지타운,지하 1층 주차장,한국전력,1899-2100,37.299431,127.023333,KP000965,KP00096502,완속(7kW),KP,Y,,2021-11-30
장안구_9_1,비단마을베스트타운,24시간 이용가능,입주자 외 이용제한,9,DC차데모+AC3상+DC콤보,경기도 수원시 장안구 정자로42번길 52,경기도 수원시 장안구 천천동 511번지 비단마을베스트타운,제 3주차장 지하 1층 주차장,한국전력,1899-2100,37.297966,126.980957,KP000754,KP00075401,DC차데모(50kW)/AC3상(43kW)/DC콤보(50kW),KP,Y,,2021-11-30
장안구_9_2,비단마을베스트타운,24시간 이용가능,입주자 외 이용제한,2,AC완속,경기도 수원시 장안구 정자로42번길 52,경기도 수원시 장안구 천천동 511번지 비단마을베스트타운,제 3주차장 지하 1층 주차장,파워큐브,1833-8017,37.297966,126.980957,PW011799,PW01179901,완속(7kW),PW,Y,,2021-11-30
장안구_9_3,비단마을베스트타운,24시간 이용가능,입주자 외 이용제한,2,AC완속,경기도 수원시 장안구 정자로42번길 52,경기도 수원시 장안구 천천동 511번지 비단마을베스트타운,제 3주차장 지하 1층 주차장,파워큐브,1833-8017,37.297966,126.980957,PW011799,PW01179902,완속(7kW),PW,Y,,2021-11-30
장안구_9_4,비단마을베스트타운,24시간 이용가능,입주자 외 이용제한,2,AC완속,경기도 수원시 장안구 정자로42번길 52,경기도 수원시 장안구 천천동 511번지 비단마을베스트타운,제 6주차장 지하 1층 주차장,파워큐브,1833-8017,37.298212,126.980857,PW011800,PW01180001,완속(7kW),PW,Y,,2021-11-30
장안구_9_5,비단마을베스트타운,24시간 이용가능,입주자 외 이용제한,2,AC완속,경기도 수원시 장안구 정자로42번길 52,경기도 수원시 장안구 천천동 511번지 비단마을베스트타운,제 6주차장 지하 1층 주차장,파워큐브,1833-8017,37.298212,126.980857,PW011800,PW01180002,완속(7kW),PW,Y,,2021-11-30
장안구_9_6,비단마을베스트타운,24시간 이용가능,입주자 외 이용제한,3,AC완속,경기도 수원시 장안구 정자로42번길 52,경기도 수원시 장안구 천천동 511번지 비단마을베스트타운,제 1주차장 지하 1층 주차장,파워큐브,1833-8017,37.298212,126.980857,PW011801,PW01180101,완속(7kW),PW,Y,,2021-11-30
장안구_10_1,북수원리버파크,24시간 이용가능,입주자 외 이용제한,2,AC완속,경기도 수원시 장안구 천천로74번길 35,경기도 수원시 장안구 정자동 913번지 북수원리버파크,815동 지하 1층 주차장,한국전력,031-8065-5566,37.300531,126.985491,KP000553,KP00055301,완속(7kW),KP,Y,,2021-11-30
장안구_10_2,북수원리버파크,24시간 이용가능,입주자 외 이용제한,2,AC완속,경기도 수원시 장안구 천천로74번길 35,경기도 수원시 장안구 정자동 913번지 북수원리버파크,816동 지하 1층 주차장,한국전력,031-8065-5566,37.299991,126.985518,KP000553,KP00055302,완속(7kW),KP,Y,,2021-11-30
장안구_10_3,북수원리버파크,24시간 이용가능,입주자 외 이용제한,2,AC완속,경기도 수원시 장안구 천천로74번길 35,경기도 수원시 장안구 정자동 913번지 북수원리버파크,816동 지하 1층 주차장,한국전력,031-8065-5566,37.299991,126.985518,KP000553,KP00055303,완속(7kW),KP,Y,,2021-11-30
장안구_11_1,수원시상수도사업소,"평일 09시~18시 이용가능, 주말/공휴일 이용불가",이용자 제한 없음,9,DC콤보,경기도 수원시 장안구 광교산로 119,경기도 수원시 장안구 하광교동 416-1번지,지상 주차장,한국전력,1899-2100,37.299958,127.028013,KP004089,KP00408901,DC콤보(50kW),KP,Y,,2021-11-30
장안구_12_1,수원아너스빌위즈,24시간 이용가능,입주자 외 이용제한,9,DC차데모+AC3상+DC콤보,경기도 수원시 장안구 송원로 20,경기도 수원시 장안구 송죽동 517번지 수원 아너스빌 위즈,지하 4층 주차장,한국전력,1899-2100,37.296867,127.007419,KP002918,KP00291801,DC차데모(50kW)/AC3상(43kW)/DC콤보(50kW),KP,Y,,2021-11-30
장안구_12_2,수원아너스빌위즈,24시간 이용가능,입주자 외 이용제한,9,AC완속,경기도 수원시 장안구 송원로 20,경기도 수원시 장안구 송죽동 517번지 수원 아너스빌 위즈,지하 4층 주차장,한국전력,1899-2100,37.296867,127.007419,KP002918,KP00291802,완속(7kW),KP,Y,,2021-11-30
장안구_12_3,수원아너스빌위즈,24시간 이용가능,입주자 외 이용제한,9,AC완속,경기도 수원시 장안구 송원로 20,경기도 수원시 장안구 송죽동 517번지 수원 아너스빌 위즈,지하 4층 주차장,한국전력,1899-2100,37.296867,127.007419,KP002918,KP00291803,완속(7kW),KP,Y,,2021-11-30
장안구_12_4,수원아너스빌위즈,24시간 이용가능,입주자 외 이용제한,9,AC완속,경기도 수원시 장안구 송원로 20,경기도 수원시 장안구 송죽동 517번지 수원 아너스빌 위즈,지하 4층 주차장,한국전력,1899-2100,37.296867,127.007419,KP002918,KP00291804,완속(7kW),KP,Y,,2021-11-30
장안구_13_1,수원장안STX칸 1단지아파트,24시간 이용가능,입주자 외 이용제한,9,DC차데모+AC3상+DC콤보,경기도 수원시 장안구 장안로 395,경기도 수원시 장안구 이목동 918번지 수원장안STXKAN1단지아파트,지하 2층 주차장,한국전력,031-960-6800,37.314047,126.983141,KP001305,KP00130501,DC차데모(50kW)/AC3상(43kW)/DC콤보(50kW),KP,Y,,2021-11-30
장안구_13_2,수원장안STX칸 1단지아파트,24시간 이용가능,입주자 외 이용제한,9,AC완속,경기도 수원시 장안구 장안로 395,경기도 수원시 장안구 이목동 918번지 수원장안STXKAN1단지아파트,지하 2층 주차장,한국전력,032-874-2302,37.314047,126.983141,KP001305,KP00130502,완속(7kW),KP,Y,,2021-11-30
장안구_13_3,수원장안STX칸 1단지아파트,24시간 이용가능,입주자 외 이용제한,2,AC완속,경기도 수원시 장안구 장안로 395,경기도 수원시 장안구 이목동 918번지 수원장안STXKAN1단지아파트,지하 2층 주차장,차지비,1600-4047,37.314047,126.983141,PI202235,PI20223501,완속(7kW),PI,Y,,2021-11-30
장안구_13_4,수원장안STX칸 1단지아파트,24시간 이용가능,입주자 외 이용제한,2,AC완속,경기도 수원시 장안구 장안로 395,경기도 수원시 장안구 이목동 918번지 수원장안STXKAN1단지아파트,지하 2층 주차장,차지비,1600-4047,37.314047,126.983141,PI202235,PI20223502,완속(7kW),PI,Y,,2021-11-30
장안구_13_5,수원장안STX칸 1단지아파트,24시간 이용가능,입주자 외 이용제한,2,AC완속,경기도 수원시 장안구 장안로 395,경기도 수원시 장안구 이목동 918번지 수원장안STXKAN1단지아파트,지하 2층 주차장,차지비,1600-4047,37.314047,126.983141,PI202235,PI20223503,완속(7kW),PI,Y,,2021-11-30
장안구_13_6,수원장안STX칸 1단지아파트,24시간 이용가능,입주자 외 이용제한,2,AC완속,경기도 수원시 장안구 장안로 395,경기도 수원시 장안구 이목동 918번지 수원장안STXKAN1단지아파트,지하 2층 주차장,차지비,1600-4047,37.314047,126.983141,PI202235,PI20223504,완속(7kW),PI,Y,,2021-11-30
장안구_13_7,수원장안STX칸 1단지아파트,24시간 이용가능,입주자 외 이용제한,2,AC완속,경기도 수원시 장안구 장안로 395,경기도 수원시 장안구 이목동 918번지 수원장안STXKAN1단지아파트,지하 2층 주차장,차지비,1600-4047,37.314047,126.983141,PI202235,PI20223505,완속(7kW),PI,Y,,2021-11-30
장안구_13_8,수원장안STX칸 1단지아파트,24시간 이용가능,입주자 외 이용제한,2,AC완속,경기도 수원시 장안구 장안로 395,경기도 수원시 장안구 이목동 918번지 수원장안STXKAN1단지아파트,지하 2층 주차장,차지비,1600-4047,37.314047,126.983141,PI202235,PI20223506,완속(7kW),PI,Y,,2021-11-30
장안구_13_9,수원장안STX칸 1단지아파트,24시간 이용가능,입주자 외 이용제한,2,AC완속,경기도 수원시 장안구 장안로 395,경기도 수원시 장안구 이목동 918번지 수원장안STXKAN1단지아파트,지하 2층 주차장,차지비,1600-4047,37.314047,126.983141,PI202235,PI20223507,완속(7kW),PI,Y,,2021-11-30
장안구_13_10,수원장안STX칸 1단지아파트,24시간 이용가능,입주자 외 이용제한,2,AC완속,경기도 수원시 장안구 장안로 395,경기도 수원시 장안구 이목동 918번지 수원장안STXKAN1단지아파트,지하 2층 주차장,차지비,1600-4047,37.314047,126.983141,PI202235,PI20223508,완속(7kW),PI,Y,,2021-11-30
장안구_13_11,수원장안STX칸 1단지아파트,24시간 이용가능,입주자 외 이용제한,2,AC완속,경기도 수원시 장안구 장안로 395,경기도 수원시 장안구 이목동 918번지 수원장안STXKAN1단지아파트,지하 2층 주차장,차지비,1600-4047,37.314047,126.983141,PI202235,PI20223509,완속(7kW),PI,Y,,2021-11-30
장안구_14_1,영화동 공영주차장,24시간 이용가능,입주자 외 이용제한,2,DC차데모+AC3상+DC콤보,경기도 수원시 장안구 수성로382번길 30,경기도 수원시 장안구 영화동 230-3번지,지상 1층 주차장,한국전력,031-230-8245,37.292917,127.014447,KP000228,KP00022801,DC차데모(50kW)/AC3상(43kW)/DC콤보(50kW),KP,Y,,2021-11-30
장안구_14_2,영화동 공영주차장,24시간 이용가능,입주자 외 이용제한,3,DC차데모+AC3상+DC콤보,경기도 수원시 장안구 수성로382번길 30,경기도 수원시 장안구 영화동 230-3번지,지상 1층 주차장,한국전력,031-230-8245,37.292917,127.014447,KP000228,KP00022802,DC차데모(50kW)/AC3상(43kW)/DC콤보(50kW),KP,Y,,2021-11-30
장안구_15_1,벽산블루밍아파트,24시간 이용가능,입주자 외 이용제한,9,DC차데모+AC3상+DC콤보,경기도 수원시 장안구 파장로 53,경기도 수원시 장안구 정자동 423-1번지 정자벽산블루밍,106동 지하 1층 주차장,한국전력,070-4618-6057,37.304611,126.994528,KP001307,KP00130701,DC차데모(50kW)/AC3상(43kW)/DC콤보(50kW),KP,Y,,2021-11-30
장안구_15_2,벽산블루밍아파트,24시간 이용가능,입주자 외 이용제한,9,AC완속,경기도 수원시 장안구 파장로 53,경기도 수원시 장안구 정자동 423-1번지 정자벽산블루밍,106동 지하 1층 주차장,한국전력,064-747-8826,37.304611,126.994528,KP001307,KP00130702,완속(7kW),KP,Y,,2021-11-30
장안구_15_3,벽산블루밍아파트,24시간 이용가능,입주자 외 이용제한,9,AC완속,경기도 수원시 장안구 파장로 53,경기도 수원시 장안구 정자동 423-1번지 정자벽산블루밍,106동 지하 1층 주차장,한국전력,064-747-8826,37.304611,126.994528,KP001307,KP00130703,완속(7kW),KP,Y,,2021-11-30
장안구_16_1,조원주공뉴타운1단지,24시간 이용가능,입주자 외 이용제한,9,DC차데모+AC3상+DC콤보,경기도 수원시 장안구 금당로39번길 33,경기도 수원시 장안구 조원동 855번지 주공뉴타운,지하 1층 주차장,한국전력,1899-2100,37.304516,127.016629,KP002825,KP00282501,DC차데모(50kW)/AC3상(43kW)/DC콤보(50kW),KP,Y,,2021-11-30
장안구_16_2,조원주공뉴타운1단지,24시간 이용가능,입주자 외 이용제한,9,AC완속,경기도 수원시 장안구 금당로39번길 33,경기도 수원시 장안구 조원동 855번지 주공뉴타운,지하 1층 주차장,한국전력,1899-2100,37.304516,127.016629,KP002825,KP00282502,완속(7kW),KP,Y,,2021-11-30
장안구_16_3,조원주공뉴타운1단지,24시간 이용가능,입주자 외 이용제한,9,AC완속,경기도 수원시 장안구 금당로39번길 33,경기도 수원시 장안구 조원동 855번지 주공뉴타운,지하 1층 주차장,한국전력,1899-2100,37.304516,127.016629,KP002825,KP00282503,완속(7kW),KP,Y,,2021-11-30
장안구_16_4,조원주공뉴타운1단지,24시간 이용가능,입주자 외 이용제한,9,AC완속,경기도 수원시 장안구 금당로39번길 33,경기도 수원시 장안구 조원동 855번지 주공뉴타운,지하 1층 주차장,한국전력,1899-2100,37.304516,127.016629,KP002825,KP00282504,완속(7kW),KP,Y,,2021-11-30
장안구_17_1,조원주공뉴타운2단지,24시간 이용가능,입주자 외 이용제한,2,DC차데모+AC3상+DC콤보,경기도 수원시 장안구 금당로39번길 34,경기도 수원시 장안구 조원동 861번지 주공뉴타운,제 4주차장 지하 1층 주차장,한국전력,1899-2100,37.302955,127.020563,KP000757,KP00075701,DC차데모(50kW)/AC3상(43kW)/DC콤보(50kW),KP,Y,,2021-11-30
장안구_17_2,조원주공뉴타운2단지,24시간 이용가능,입주자 외 이용제한,2,DC차데모+AC3상+DC콤보,경기도 수원시 장안구 금당로39번길 34,경기도 수원시 장안구 조원동 861번지 주공뉴타운,제 4주차장 지하 1층 주차장,한국전력,1899-2100,37.302955,127.020563,KP000757,KP00075702,DC차데모(50kW)/AC3상(43kW)/DC콤보(50kW),KP,Y,,2021-11-30
장안구_17_3,조원주공뉴타운2단지,24시간 이용가능,입주자 외 이용제한,9,AC완속,경기도 수원시 장안구 금당로39번길 34,경기도 수원시 장안구 조원동 861번지 주공뉴타운,제 4주차장 지하 1층 주차장,한국전력,1899-2100,37.302955,127.020563,KP000757,KP00075703,완속(7kW),KP,Y,,2021-11-30
장안구_17_4,조원주공뉴타운2단지,24시간 이용가능,입주자 외 이용제한,9,AC완속,경기도 수원시 장안구 금당로39번길 34,경기도 수원시 장안구 조원동 861번지 주공뉴타운,제 4주차장 지하 1층 주차장,한국전력,1899-2100,37.302955,127.020563,KP000757,KP00075704,완속(7kW),KP,Y,,2021-11-30
장안구_17_5,조원주공뉴타운2단지,24시간 이용가능,입주자 외 이용제한,9,AC완속,경기도 수원시 장안구 금당로39번길 34,경기도 수원시 장안구 조원동 861번지 주공뉴타운,제 4주차장 지하 1층 주차장,한국전력,1899-2100,37.302955,127.020563,KP000757,KP00075705,완속(7kW),KP,Y,,2021-11-30
장안구_17_6,조원주공뉴타운2단지,24시간 이용가능,입주자 외 이용제한,9,AC완속,경기도 수원시 장안구 금당로39번길 34,경기도 수원시 장안구 조원동 861번지 주공뉴타운,제 4주차장 지하 1층 주차장,한국전력,1899-2100,37.302955,127.020563,KP000757,KP00075706,완속(7kW),KP,Y,,2021-11-30
장안구_17_7,조원주공뉴타운2단지,24시간 이용가능,입주자 외 이용제한,9,AC완속,경기도 수원시 장안구 금당로39번길 34,경기도 수원시 장안구 조원동 861번지 주공뉴타운,제 4주차장 지하 1층 주차장,한국전력,1899-2100,37.302955,127.020563,KP000757,KP00075707,완속(7kW),KP,Y,,2021-11-30
장안구_18_1,한국농어촌공사 경기지역본부,"평일 09시~18시 이용가능, 주말/공휴일 이용불가",이용자 제한 없음,2,DC콤보,경기도 수원시 장안구 장안로 347,경기도 수원시 장안구 정자동 571-1번지,지상 주차장,한국전력,1899-2100,37.311914,126.986215,KP004637,KP00463701,DC콤보(100kW),KP,Y,,2021-11-30
장안구_19_1,홈플러스 북수원점,24시간 이용가능,이용자 제한 없음,2,DC차데모+AC3상+DC콤보,경기도 수원시 장안구 송원로 81,경기도 수원시 장안구 조원동 898-1번지,지하 2층 주차장,한국전력,1899-2100,37.302514,127.008601,KP002055,KP00205501,DC차데모(50kW)/AC3상(43kW)/DC콤보(50kW),KP,Y,,2021-11-30
장안구_20_1,경기도 체육회관,24시간 이용가능,이용자 제한 없음,2,DC차데모+AC3상+DC콤보,경기도 수원시 장안구 장안로 134,경기도 수원시 장안구 정자동 27-10번지,지상 주차장,한국전기차충전서비스,1522-1782,37.296012,126.999284,HE000588,HE00058801,DC차데모(50kW)/AC3상(43kW)/DC콤보(50kW),HE,Y,,2021-11-30
장안구_20_2,경기도 체육회관,24시간 이용가능,이용자 제한 없음,9,DC차데모+AC3상+DC콤보,경기도 수원시 장안구 장안로 134,경기도 수원시 장안구 정자동 27-10번지,지상 주차장,한국전기차충전서비스,1522-1782,37.296012,126.999284,HE000588,HE00058802,DC차데모(50kW)/AC3상(43kW)/DC콤보(50kW),HE,Y,,2021-11-30
장안구_20_3,경기도 체육회관,24시간 이용가능,이용자 제한 없음,2,AC완속,경기도 수원시 장안구 장안로 134,경기도 수원시 장안구 정자동 27-10번지,지상 주차장,한국전기차충전서비스,1522-1782,37.296012,126.999284,HE000588,HE00058803,완속(7kW),HE,Y,,2021-11-30
장안구_20_4,경기도 체육회관,24시간 이용가능,이용자 제한 없음,3,AC완속,경기도 수원시 장안구 장안로 134,경기도 수원시 장안구 정자동 27-10번지,지상 주차장,한국전기차충전서비스,1522-1782,37.296012,126.999284,HE000588,HE00058804,완속(7kW),HE,Y,,2021-11-30
장안구_21_1,연주신미주아파트,24시간 이용가능,입주자 외 이용제한,2,AC완속,경기도 수원시 장안구 광교산로 148,경기도 수원시 장안구 연무동 4-20번지 신미주아파트,지하 1층 주차장,한국전기차충전서비스,1522-1782,37.300326,127.031139,HE192305,HE19230501,완속(7kW),HE,Y,,2021-11-30
장안구_21_2,연주신미주아파트,24시간 이용가능,입주자 외 이용제한,2,AC완속,경기도 수원시 장안구 광교산로 148,경기도 수원시 장안구 연무동 4-20번지 신미주아파트,지하 1층 주차장,한국전기차충전서비스,1522-1782,37.300326,127.031139,HE192305,HE19230502,완속(7kW),HE,Y,,2021-11-30
장안구_21_3,연주신미주아파트,24시간 이용가능,입주자 외 이용제한,2,AC완속,경기도 수원시 장안구 광교산로 148,경기도 수원시 장안구 연무동 4-20번지 신미주아파트,지하 1층 주차장,한국전기차충전서비스,1522-1782,37.300326,127.031139,HE192305,HE19230503,완속(7kW),HE,Y,,2021-11-30
장안구_21_4,연주신미주아파트,24시간 이용가능,입주자 외 이용제한,2,AC완속,경기도 수원시 장안구 광교산로 148,경기도 수원시 장안구 연무동 4-20번지 신미주아파트,지하 1층 주차장,한국전기차충전서비스,1522-1782,37.300326,127.031139,HE192305,HE19230504,완속(7kW),HE,Y,,2021-11-30
장안구_22_1,영화동행정복지센터,24시간 이용가능,이용자 제한 없음,2,AC완속,경기도 수원시 장안구 수성로382번길 24,경기도 수원시 장안구 영화동 250-1번지,지하 1층 주차장,한국전기차충전서비스,1522-1782,37.292995,127.014142,HE001089,HE00108901,완속(7kW),HE,Y,,2021-11-30
장안구_22_2,영화동행정복지센터,24시간 이용가능,이용자 제한 없음,5,DC차데모+AC3상+DC콤보,경기도 수원시 장안구 수성로382번길 24,경기도 수원시 장안구 영화동 250-1번지,지하 1층 주차장,㈜피앤이시스템즈,1661-6501,37.292995,127.014142,,,DC차데모(50kW)/AC3상(43kW)/DC콤보(50kW),,Y,,2021-11-30
장안구_23_1,한국전기안전공사 경기지역본부,"평일 09시~18시 이용가능, 주말/공휴일 이용불가",이용자 제한 없음,2,AC완속,경기도 수원시 장안구 정조로933번길 21,경기도 수원시 장안구 영화동 338-1번지,지상 주차장,에버온,1661-7766,37.290177,127.011821,EV002738,EV00273801,완속(7kW),EV,Y,,2021-11-30
장안구_23_2,한국전기안전공사 경기지역본부,"평일 09시~18시 이용가능, 주말/공휴일 이용불가",이용자 제한 없음,2,AC완속,경기도 수원시 장안구 정조로933번길 21,경기도 수원시 장안구 영화동 338-1번지,지상 주차장,에버온,1661-7766,37.290177,127.011821,EV002738,EV00273802,완속(7kW),EV,Y,,2021-11-30
장안구_23_3,한국전기안전공사 경기지역본부,"평일 09시~18시 이용가능, 주말/공휴일 이용불가",이용자 제한 없음,2,AC완속,경기도 수원시 장안구 정조로933번길 21,경기도 수원시 장안구 영화동 338-1번지,지상 주차장,에버온,1661-7766,37.290177,127.011821,EV002738,EV00273803,완속(7kW),EV,Y,,2021-11-30
장안구_23_4,한국전기안전공사 경기지역본부,"평일 09시~18시 이용가능, 주말/공휴일 이용불가",이용자 제한 없음,2,AC완속,경기도 수원시 장안구 정조로933번길 21,경기도 수원시 장안구 영화동 338-1번지,지상 주차장,대영채비,1522-2573,37.290177,127.011821,CV000232,CV00023201,완속(7kW),CV,Y,,2021-11-30
장안구_23_5,한국전기안전공사 경기지역본부,"평일 09시~18시 이용가능, 주말/공휴일 이용불가",이용자 제한 없음,2,AC완속,경기도 수원시 장안구 정조로933번길 21,경기도 수원시 장안구 영화동 338-1번지,지상 주차장,대영채비,1522-2573,37.290177,127.011821,CV000232,CV00023202,완속(7kW),CV,Y,,2021-11-30
장안구_23_6,한국전기안전공사 경기지역본부,"평일 09시~18시 이용가능, 주말/공휴일 이용불가",이용자 제한 없음,2,AC완속,경기도 수원시 장안구 정조로933번길 21,경기도 수원시 장안구 영화동 338-1번지,지상 주차장,대영채비,1522-2573,37.290177,127.011821,,,완속(7kW),,Y,,2021-11-30
장안구_23_7,한국전기안전공사 경기지역본부,"평일 09시~18시 이용가능, 주말/공휴일 이용불가",이용자 제한 없음,2,AC완속,경기도 수원시 장안구 정조로933번길 21,경기도 수원시 장안구 영화동 338-1번지,지상 주차장,대영채비,1522-2573,37.290177,127.011821,,,완속(7kW),,Y,,2021-11-30
장안구_23_8,한국전기안전공사 경기지역본부,"평일 09시~18시 이용가능, 주말/공휴일 이용불가",이용자 제한 없음,2,AC완속,경기도 수원시 장안구 정조로933번길 21,경기도 수원시 장안구 영화동 338-1번지,지상 주차장,대영채비,1522-2573,37.290177,127.011821,,,완속(7kW),,Y,,2021-11-30
장안구_24_1,SK허브블루오피스텔,24시간 이용가능,이용자 제한 없음,2,AC완속,경기도 수원시 장안구 서부로 2139,경기도 수원시 장안구 율전동 285-2번지,지하 5층 주차장,차지비,1600-4047,37.299493,126.971602,PI121444,PI12144401,완속(7kW),PI,Y,,2021-11-30
장안구_24_2,SK허브블루오피스텔,24시간 이용가능,이용자 제한 없음,2,AC완속,경기도 수원시 장안구 서부로 2139,경기도 수원시 장안구 율전동 285-2번지,지하 5층 주차장,차지비,1600-4047,37.299493,126.971602,PI121444,PI12144402,완속(7kW),PI,Y,,2021-11-30
